unique_id	gene	category	length	cluster
B063712	ENSG00000155252	NNC	268	B072527
B113660	ENSG00000197530	FSM	96	B113660
B006940	ENSG00000197530	NIC	818	B004486
B094221	ENSG00000197530	NNC	164	B094221
B066734	ENSG00000026297	FSM	256	B079014
B077642	ENSG00000026297	NIC	218	B079014
B082719	ENSG00000026297	NNC	201	B085565
B096069	ENSG00000170584	FSM	157	B103967
B110618	ENSG00000170584	NIC	107	B112991
B095668	ENSG00000170584	NNC	159	B103967
B088751	ENSG00000106244	FSM	181	B089577
B098557	ENSG00000106244	NIC	149	B098557
B084052	ENSG00000106244	NNC	197	B089577
B086845	ENSG00000159202	FSM	187	B086845
B063100	ENSG00000159202	NIC	270	B055308
B069656	ENSG00000159202	NNC	246	B069656
B075460	ENSG00000116752	FSM	225	B088820
B114838	ENSG00000116752	NIC	92	B114838
B068475	ENSG00000116752	NNC	250	B068475
B044762	ENSG00000275700	FSM	351	B044762
B050765	ENSG00000275700	NIC	322	B050765
B084323	ENSG00000275700	NNC	196	B088810
B027395	ENSG00000153560	FSM	468	B031309
B044646	ENSG00000153560	NIC	352	B031309
B056342	ENSG00000153560	NNC	298	B069671
B006519	ENSG00000097096	FSM	835	B006519
B050729	ENSG00000097096	NIC	322	B050729
B072250	ENSG00000097096	NNC	237	B072250
B016392	ENSG00000163655	FSM	594	B016862
B084474	ENSG00000163655	NIC	195	B084474
B064787	ENSG00000163655	NNC	264	B069889
B056632	ENSG00000172354	FSM	296	B055408
B075550	ENSG00000172354	NIC	225	B075550
B053102	ENSG00000172354	NNC	312	B055408
B049848	ENSG00000105223	FSM	326	B045735
B046992	ENSG00000105223	NIC	340	B046992
B064182	ENSG00000105223	NNC	266	B064182
B063264	ENSG00000136636	FSM	269	B071056
B065228	ENSG00000136636	NIC	262	B065228
B043456	ENSG00000136636	NNC	359	B043456
B046743	ENSG00000145687	FSM	341	B042574
B057185	ENSG00000145687	NIC	294	B068007
B055567	ENSG00000145687	NNC	301	B068007
B097576	ENSG00000124596	FSM	152	B098347
B105522	ENSG00000124596	NIC	125	B105522
B074538	ENSG00000124596	NNC	229	B074538
B080065	ENSG00000140718	FSM	209	B080065
B054720	ENSG00000140718	NIC	304	B054720
B047456	ENSG00000140718	NNC	338	B061389
B059784	ENSG00000143337	FSM	283	B059784
B038593	ENSG00000143337	NIC	387	B038593
B052864	ENSG00000143337	NNC	313	B059679
B003307	ENSG00000164741	FSM	1017	B003445
B113999	ENSG00000164741	NIC	95	B113999
B069421	ENSG00000164741	NNC	247	B069421
B058048	ENSG00000102078	FSM	290	B058048
B071288	ENSG00000102078	NIC	240	B081446
B044746	ENSG00000102078	NNC	352	B044746
B023018	ENSG00000100784	FSM	510	B023018
B054518	ENSG00000100784	NIC	305	B054518
B017620	ENSG00000100784	NNC	576	B020694
B058274	ENSG00000132591	FSM	289	B058274
B070045	ENSG00000132591	NIC	244	B081943
B055832	ENSG00000132591	NNC	300	B064178
B023293	ENSG00000196628	FSM	507	B028070
B065479	ENSG00000196628	NIC	261	B072346
B055835	ENSG00000196628	NNC	300	B055835
B055626	ENSG00000137513	FSM	300	B070895
B085184	ENSG00000137513	NIC	193	B093953
B038363	ENSG00000137513	NNC	389	B038363
B000043	ENSG00000142197	FSM	2298	B000125
B092635	ENSG00000142197	NIC	169	B092635
B024933	ENSG00000142197	NNC	491	B024933
B027263	ENSG00000138814	FSM	469	B031104
B046375	ENSG00000138814	NIC	343	B051819
B104751	ENSG00000138814	NNC	128	B104751
B015030	ENSG00000162852	FSM	616	B009839
B061787	ENSG00000162852	NIC	275	B061787
B045465	ENSG00000162852	NNC	348	B045465
B083779	ENSG00000099991	FSM	197	B083779
B063316	ENSG00000099991	NIC	269	B063316
B058474	ENSG00000099991	NNC	289	B058474
B115084	ENSG00000100241	FSM	91	B115084
B044455	ENSG00000100241	NIC	353	B044455
B086803	ENSG00000100241	NNC	188	B086803
B066218	ENSG00000257923	FSM	258	B066218
B065178	ENSG00000257923	NIC	262	B065178
B056532	ENSG00000257923	NNC	297	B056532
B058797	ENSG00000107874	FSM	287	B058797
B072688	ENSG00000107874	NIC	235	B072688
B073094	ENSG00000107874	NNC	234	B073094
B021984	ENSG00000173744	FSM	521	B021984
B108598	ENSG00000173744	NIC	114	B113970
B046413	ENSG00000173744	NNC	343	B046413
B015325	ENSG00000164292	FSM	611	B025108
B032434	ENSG00000164292	NIC	428	B025108
B044713	ENSG00000164292	NNC	352	B044713
B019236	ENSG00000198799	FSM	553	B013497
B082289	ENSG00000198799	NIC	202	B082289
B103674	ENSG00000198799	NNC	132	B103674
B040965	ENSG00000156860	FSM	372	B040965
B064134	ENSG00000156860	NIC	266	B064134
B048085	ENSG00000156860	NNC	335	B048085
B024173	ENSG00000163462	FSM	498	B026686
B041001	ENSG00000163462	NIC	372	B041001
B040226	ENSG00000163462	NNC	377	B040226
B054462	ENSG00000165283	FSM	305	B054462
B076181	ENSG00000165283	NIC	223	B081160
B056051	ENSG00000165283	NNC	299	B056051
B064579	ENSG00000204231	FSM	264	B064579
B038921	ENSG00000204231	NIC	385	B038921
B052639	ENSG00000204231	NNC	314	B052639
B096359	ENSG00000143947	FSM	156	B097867
B111766	ENSG00000143947	NIC	103	B112938
B094743	ENSG00000143947	NNC	162	B097867
B103212	ENSG00000203326	FSM	133	B102534
B032873	ENSG00000203326	NIC	425	B033167
B097791	ENSG00000203326	NNC	152	B097791
B009495	ENSG00000053108	FSM	734	B009495
B052047	ENSG00000053108	NIC	316	B052047
B057949	ENSG00000053108	NNC	291	B063165
B061960	ENSG00000168255	FSM	274	B069805
B082943	ENSG00000168255	NIC	200	B082943
B045255	ENSG00000168255	NNC	349	B045299
B052885	ENSG00000168904	FSM	312	B056177
B061491	ENSG00000168904	NIC	276	B069235
B079100	ENSG00000168904	NNC	213	B086428
B060254	ENSG00000134684	FSM	281	B063281
B057694	ENSG00000134684	NIC	292	B057694
B030793	ENSG00000134684	NNC	441	B030793
B093998	ENSG00000051825	FSM	164	B094598
B024422	ENSG00000051825	NIC	496	B024422
B055821	ENSG00000051825	NNC	300	B055821
B053135	ENSG00000145506	FSM	311	B053135
B053828	ENSG00000145506	NIC	308	B053828
B037096	ENSG00000145506	NNC	397	B037096
B015148	ENSG00000198682	FSM	614	B019046
B053212	ENSG00000198682	NIC	311	B053212
B054151	ENSG00000198682	NNC	307	B054151
B088169	ENSG00000149262	FSM	183	B088169
B095011	ENSG00000149262	NIC	161	B095011
B032212	ENSG00000149262	NNC	430	B032212
B092488	ENSG00000114902	FSM	169	B092488
B106374	ENSG00000114902	NIC	122	B102287
B111588	ENSG00000114902	NNC	104	B115347
B057564	ENSG00000058272	FSM	292	B052726
B086599	ENSG00000058272	NIC	188	B086599
B031796	ENSG00000058272	NNC	433	B034985
B051102	ENSG00000132485	FSM	320	B052481
B068157	ENSG00000132485	NIC	251	B068157
B049951	ENSG00000132485	NNC	326	B052481
B043709	ENSG00000151116	FSM	357	B051606
B056014	ENSG00000151116	NIC	299	B056014
B069093	ENSG00000151116	NNC	248	B074194
B060970	ENSG00000122852	FSM	278	B069811
B079032	ENSG00000122852	NIC	213	B079032
B056112	ENSG00000122852	NNC	299	B069811
B012755	ENSG00000162607	FSM	658	B012755
B054715	ENSG00000162607	NIC	304	B054715
B087665	ENSG00000162607	NNC	185	B087665
B088427	ENSG00000162642	FSM	182	B088427
B089409	ENSG00000162642	NIC	179	B089409
B101394	ENSG00000162642	NNC	140	B101394
B061195	ENSG00000126106	FSM	277	B069432
B091974	ENSG00000126106	NIC	171	B094977
B062577	ENSG00000126106	NNC	272	B069432
B055629	ENSG00000139974	FSM	300	B055629
B093161	ENSG00000139974	NIC	167	B094026
B032896	ENSG00000139974	NNC	425	B032896
B044618	ENSG00000108239	FSM	352	B034072
B012170	ENSG00000108239	NIC	671	B010864
B063228	ENSG00000108239	NNC	270	B063228
B071141	ENSG00000143384	FSM	240	B071141
B072909	ENSG00000143384	NIC	234	B072909
B043608	ENSG00000143384	NNC	358	B043608
B100533	ENSG00000154174	FSM	142	B100533
B064906	ENSG00000154174	NIC	263	B067360
B044020	ENSG00000154174	NNC	356	B044020
B036993	ENSG00000100056	FSM	397	B038652
B056942	ENSG00000100056	NIC	295	B056942
B041777	ENSG00000100056	NNC	368	B041777
B025890	ENSG00000152778	FSM	482	B034071
B040355	ENSG00000152778	NIC	376	B041255
B076879	ENSG00000152778	NNC	221	B076879
B052684	ENSG00000148337	FSM	313	B064644
B007866	ENSG00000148337	NIC	782	B007866
B013671	ENSG00000148337	NNC	640	B013671
B023204	ENSG00000144224	FSM	508	B023204
B059568	ENSG00000144224	NIC	284	B059568
B054628	ENSG00000144224	NNC	305	B054628
B027496	ENSG00000168216	FSM	467	B027496
B047435	ENSG00000168216	NIC	338	B049551
B095671	ENSG00000168216	NNC	159	B095671
B048787	ENSG00000205060	FSM	331	B060551
B057408	ENSG00000205060	NIC	293	B071980
B065061	ENSG00000205060	NNC	263	B073722
B069449	ENSG00000085982	FSM	246	B069449
B049926	ENSG00000085982	NIC	326	B049926
B034921	ENSG00000085982	NNC	411	B036238
B034306	ENSG00000213390	FSM	415	B034306
B058647	ENSG00000213390	NIC	288	B058647
B056861	ENSG00000213390	NNC	296	B056861
B077817	ENSG00000141027	FSM	217	B077817
B046544	ENSG00000141027	NIC	342	B046544
B058225	ENSG00000141027	NNC	290	B048334
B062730	ENSG00000133135	FSM	271	B066120
B043560	ENSG00000133135	NIC	358	B056306
B038796	ENSG00000133135	NNC	386	B041755
B088101	ENSG00000124067	FSM	183	B088101
B070608	ENSG00000124067	NIC	242	B070608
B042302	ENSG00000124067	NNC	365	B042302
B051976	ENSG00000108423	FSM	316	B044765
B062245	ENSG00000108423	NIC	273	B062245
B058172	ENSG00000108423	NNC	290	B058172
B069213	ENSG00000172922	FSM	247	B069213
B108939	ENSG00000172922	NIC	113	B108939
B086477	ENSG00000172922	NNC	189	B097774
B070841	ENSG00000170779	FSM	241	B082431
B114318	ENSG00000170779	NIC	94	B114318
B078608	ENSG00000170779	NNC	215	B078608
B052249	ENSG00000148690	FSM	315	B076621
B052992	ENSG00000148690	NIC	312	B052992
B096910	ENSG00000148690	NNC	155	B104942
B017868	ENSG00000063046	FSM	572	B018350
B042604	ENSG00000063046	NIC	363	B042855
B042855	ENSG00000063046	NNC	362	B042855
B040617	ENSG00000166965	FSM	374	B040617
B094308	ENSG00000166965	NIC	163	B094308
B090449	ENSG00000166965	NNC	176	B090953
B057346	ENSG00000145979	FSM	293	B063277
B082027	ENSG00000145979	NIC	203	B093070
B094155	ENSG00000145979	NNC	164	B095003
B029245	ENSG00000254685	FSM	452	B029245
B051560	ENSG00000254685	NIC	318	B051560
B055307	ENSG00000254685	NNC	302	B065253
B075182	ENSG00000138363	FSM	226	B075182
B054529	ENSG00000138363	NIC	305	B054529
B045632	ENSG00000138363	NNC	347	B045632
B096623	ENSG00000258311	FSM	155	B096623
B086063	ENSG00000258311	NIC	190	B086063
B100718	ENSG00000258311	NNC	142	B106201
B087200	ENSG00000204842	FSM	186	B087200
B018410	ENSG00000204842	NIC	564	B018410
B045484	ENSG00000204842	NNC	348	B045484
B005781	ENSG00000132837	FSM	866	B008137
B057882	ENSG00000132837	NIC	291	B057882
B102292	ENSG00000132837	NNC	137	B102292
B088737	ENSG00000133422	FSM	181	B088737
B023732	ENSG00000133422	NIC	503	B020444
B114692	ENSG00000133422	NNC	93	B114692
B060953	ENSG00000090447	FSM	278	B060953
B068700	ENSG00000090447	NIC	249	B068700
B050184	ENSG00000090447	NNC	325	B060953
B081353	ENSG00000167985	FSM	205	B081353
B091376	ENSG00000167985	NIC	173	B097162
B093081	ENSG00000167985	NNC	168	B093081
B002546	ENSG00000144290	FSM	1088	B003394
B052764	ENSG00000144290	NIC	313	B052764
B059462	ENSG00000144290	NNC	285	B059462
B104827	ENSG00000151353	FSM	127	B109110
B109253	ENSG00000151353	NIC	112	B109253
B103626	ENSG00000151353	NNC	132	B109110
B047785	ENSG00000140553	FSM	336	B047785
B051837	ENSG00000140553	NIC	317	B051837
B014853	ENSG00000140553	NNC	619	B014853
B032395	ENSG00000126767	FSM	428	B035624
B056738	ENSG00000126767	NIC	296	B056738
B055115	ENSG00000126767	NNC	303	B065852
B002769	ENSG00000131899	FSM	1064	B004230
B046315	ENSG00000131899	NIC	343	B055075
B055075	ENSG00000131899	NNC	303	B055075
B053788	ENSG00000130956	FSM	308	B046664
B069269	ENSG00000130956	NIC	247	B069269
B085322	ENSG00000130956	NNC	193	B088856
B110285	ENSG00000107164	FSM	108	B110285
B064162	ENSG00000107164	NIC	266	B064162
B068301	ENSG00000107164	NNC	251	B076284
B046512	ENSG00000138669	FSM	342	B060144
B094103	ENSG00000138669	NIC	164	B094103
B087698	ENSG00000138669	NNC	185	B087698
B106272	ENSG00000115839	FSM	122	B106272
B067566	ENSG00000115839	NIC	253	B067566
B057247	ENSG00000115839	NNC	294	B057247
B021540	ENSG00000198846	FSM	526	B024573
B023618	ENSG00000198846	NIC	504	B024573
B024573	ENSG00000198846	NNC	495	B024573
B020581	ENSG00000163161	FSM	537	B014169
B060582	ENSG00000163161	NIC	280	B048499
B085221	ENSG00000163161	NNC	193	B085221
B023297	ENSG00000196236	FSM	507	B025716
B054054	ENSG00000196236	NIC	307	B054054
B061169	ENSG00000196236	NNC	278	B061169
B068317	ENSG00000166145	FSM	250	B081059
B028799	ENSG00000166145	NIC	456	B028495
B051691	ENSG00000166145	NNC	318	B051691
B055912	ENSG00000171316	FSM	299	B055912
B060797	ENSG00000171316	NIC	279	B060797
B035262	ENSG00000171316	NNC	409	B025857
B086226	ENSG00000089220	FSM	189	B086226
B112867	ENSG00000089220	NIC	99	B112867
B087659	ENSG00000089220	NNC	185	B094776
B035928	ENSG00000109576	FSM	404	B035928
B068436	ENSG00000109576	NIC	250	B077687
B057065	ENSG00000109576	NNC	295	B057065
B095755	ENSG00000143727	FSM	158	B098641
B098832	ENSG00000143727	NIC	148	B098832
B084579	ENSG00000143727	NNC	195	B084579
B102071	ENSG00000106290	FSM	137	B102071
B050140	ENSG00000106290	NIC	325	B050140
B063481	ENSG00000106290	NNC	269	B066173
B074263	ENSG00000100147	FSM	229	B086741
B102734	ENSG00000100147	NIC	135	B102734
B110182	ENSG00000100147	NNC	109	B110182
B017109	ENSG00000048028	FSM	583	B017109
B027730	ENSG00000048028	NIC	465	B039876
B026879	ENSG00000048028	NNC	473	B016788
B058525	ENSG00000163382	FSM	288	B063797
B073827	ENSG00000163382	NIC	231	B082014
B061113	ENSG00000163382	NNC	278	B061113
B031240	ENSG00000105429	FSM	437	B031240
B052538	ENSG00000105429	NIC	314	B052538
B057244	ENSG00000105429	NNC	294	B069597
B080059	ENSG00000177192	FSM	209	B088869
B086310	ENSG00000177192	NIC	189	B086310
B055062	ENSG00000177192	NNC	303	B060668
B022564	ENSG00000120738	FSM	515	B022564
B039661	ENSG00000120738	NIC	380	B039661
B050615	ENSG00000120738	NNC	323	B050615
B047147	ENSG00000164733	FSM	339	B058749
B051215	ENSG00000164733	NIC	320	B051215
B089579	ENSG00000164733	NNC	179	B089579
B091825	ENSG00000090470	FSM	171	B093040
B035602	ENSG00000090470	NIC	406	B035602
B062583	ENSG00000090470	NNC	272	B062583
B043892	ENSG00000102225	FSM	356	B051736
B072116	ENSG00000102225	NIC	237	B073677
B077753	ENSG00000102225	NNC	218	B077753
B069197	ENSG00000155849	FSM	247	B069197
B094667	ENSG00000155849	NIC	162	B096539
B072273	ENSG00000155849	NNC	237	B072273
B073139	ENSG00000196586	FSM	233	B073139
B029934	ENSG00000196586	NIC	447	B023722
B052641	ENSG00000196586	NNC	314	B052641
B033401	ENSG00000102580	FSM	421	B029556
B059794	ENSG00000102580	NIC	283	B059794
B042479	ENSG00000102580	NNC	364	B042479
B090636	ENSG00000158042	FSM	175	B090636
B113197	ENSG00000158042	NIC	98	B114574
B101117	ENSG00000158042	NNC	141	B101117
B004296	ENSG00000006704	FSM	944	B004296
B053833	ENSG00000006704	NIC	308	B042512
B016673	ENSG00000006704	NNC	590	B014690
B099375	ENSG00000167118	FSM	146	B099375
B099453	ENSG00000167118	NIC	146	B099453
B098408	ENSG00000167118	NNC	150	B103426
B086872	ENSG00000086619	FSM	187	B086872
B048044	ENSG00000086619	NIC	335	B048044
B067940	ENSG00000086619	NNC	252	B080182
B031235	ENSG00000147872	FSM	437	B036630
B055715	ENSG00000147872	NIC	300	B053838
B054145	ENSG00000147872	NNC	307	B054145
B059768	ENSG00000112511	FSM	283	B059768
B042087	ENSG00000112511	NIC	366	B043282
B073609	ENSG00000112511	NNC	232	B073609
B094541	ENSG00000205352	FSM	162	B103043
B106842	ENSG00000205352	NIC	120	B112111
B094174	ENSG00000205352	NNC	164	B103043
B033561	ENSG00000147642	FSM	420	B033561
B027755	ENSG00000147642	NIC	465	B020006
B099585	ENSG00000147642	NNC	146	B099585
B082500	ENSG00000048544	FSM	201	B091126
B095261	ENSG00000048544	NIC	160	B102986
B079689	ENSG00000048544	NNC	211	B091126
B079771	ENSG00000126107	FSM	210	B079771
B027061	ENSG00000126107	NIC	471	B037917
B048871	ENSG00000126107	NNC	331	B048871
B054435	ENSG00000169660	FSM	305	B054435
B077366	ENSG00000169660	NIC	219	B077366
B028108	ENSG00000169660	NNC	462	B031982
B050714	ENSG00000205758	FSM	322	B050714
B066327	ENSG00000205758	NIC	258	B077310
B083325	ENSG00000205758	NNC	199	B083325
B037278	ENSG00000135929	FSM	395	B037278
B062053	ENSG00000135929	NIC	274	B062053
B059412	ENSG00000135929	NNC	285	B059412
B048593	ENSG00000105928	FSM	332	B048593
B041921	ENSG00000105928	NIC	367	B041921
B082181	ENSG00000105928	NNC	203	B082181
B051141	ENSG00000215114	FSM	320	B061294
B102712	ENSG00000215114	NIC	135	B102712
B078643	ENSG00000215114	NNC	215	B084099
B096673	ENSG00000069509	FSM	155	B100205
B109233	ENSG00000069509	NIC	112	B109233
B100155	ENSG00000069509	NNC	144	B100155
B048795	ENSG00000015413	FSM	331	B048795
B053442	ENSG00000015413	NIC	310	B043602
B070420	ENSG00000015413	NNC	243	B070420
B010233	ENSG00000156599	FSM	715	B015234
B057204	ENSG00000156599	NIC	294	B057204
B021609	ENSG00000156599	NNC	526	B015234
B047975	ENSG00000152382	FSM	335	B047975
B073776	ENSG00000152382	NIC	231	B073776
B054831	ENSG00000152382	NNC	304	B047975
B093687	ENSG00000176946	FSM	165	B093687
B033324	ENSG00000176946	NIC	422	B033639
B050017	ENSG00000176946	NNC	326	B050017
B071447	ENSG00000138867	FSM	239	B071447
B086630	ENSG00000138867	NIC	188	B086630
B090472	ENSG00000138867	NNC	176	B090472
B047558	ENSG00000271601	FSM	337	B054825
B086627	ENSG00000271601	NIC	188	B074568
B075993	ENSG00000271601	NNC	224	B076225
B057342	ENSG00000138794	FSM	293	B070070
B084167	ENSG00000138794	NIC	196	B093697
B058997	ENSG00000138794	NNC	287	B070070
B051353	ENSG00000147144	FSM	319	B051353
B051393	ENSG00000147144	NIC	319	B051393
B090828	ENSG00000147144	NNC	175	B090828
B053344	ENSG00000138231	FSM	310	B053344
B059862	ENSG00000138231	NIC	283	B071148
B057302	ENSG00000138231	NNC	294	B070948
B014951	ENSG00000131845	FSM	617	B018231
B018231	ENSG00000131845	NIC	567	B018231
B031032	ENSG00000131845	NNC	439	B031581
B018407	ENSG00000174358	FSM	564	B022512
B047228	ENSG00000174358	NIC	339	B047228
B009339	ENSG00000174358	NNC	739	B009339
B054421	ENSG00000140395	FSM	305	B063046
B054468	ENSG00000140395	NIC	305	B063046
B077104	ENSG00000140395	NNC	220	B079206
B113072	ENSG00000182973	FSM	98	B113072
B061772	ENSG00000182973	NIC	275	B069941
B061623	ENSG00000182973	NNC	276	B061847
B055901	ENSG00000163818	FSM	299	B060134
B086401	ENSG00000163818	NIC	189	B086401
B075417	ENSG00000163818	NNC	226	B075417
B041521	ENSG00000148334	FSM	369	B051955
B099452	ENSG00000148334	NIC	146	B099452
B051955	ENSG00000148334	NNC	317	B051955
B068598	ENSG00000160679	FSM	249	B070215
B107443	ENSG00000160679	NIC	118	B112601
B105327	ENSG00000160679	NNC	126	B105327
B054455	ENSG00000160959	FSM	305	B054455
B058899	ENSG00000160959	NIC	287	B058899
B076874	ENSG00000160959	NNC	221	B076874
B051985	ENSG00000143624	FSM	316	B060251
B087002	ENSG00000143624	NIC	187	B087002
B019279	ENSG00000143624	NNC	553	B014149
B010022	ENSG00000131115	FSM	720	B010022
B110887	ENSG00000131115	NIC	106	B115743
B088661	ENSG00000131115	NNC	182	B088661
B020741	ENSG00000131242	FSM	535	B020741
B040339	ENSG00000131242	NIC	376	B040339
B047249	ENSG00000131242	NNC	339	B047249
B062471	ENSG00000146109	FSM	272	B067732
B101899	ENSG00000146109	NIC	138	B101899
B051461	ENSG00000146109	NNC	319	B051461
B088433	ENSG00000186487	FSM	182	B088433
B083192	ENSG00000186487	NIC	199	B083192
B055086	ENSG00000186487	NNC	303	B051703
B076057	ENSG00000197858	FSM	223	B076057
B049239	ENSG00000197858	NIC	329	B049239
B017098	ENSG00000197858	NNC	584	B017098
B055921	ENSG00000181929	FSM	299	B067617
B064865	ENSG00000181929	NIC	263	B066808
B094416	ENSG00000181929	NNC	163	B094416
B088738	ENSG00000250151	FSM	181	B097134
B063065	ENSG00000250151	NIC	270	B063065
B056837	ENSG00000250151	NNC	296	B060094
B106811	ENSG00000139746	FSM	120	B106811
B023062	ENSG00000139746	NIC	510	B028362
B074138	ENSG00000139746	NNC	230	B074138
B096919	ENSG00000139645	FSM	154	B096919
B051833	ENSG00000139645	NIC	317	B052547
B102817	ENSG00000139645	NNC	135	B102817
B077854	ENSG00000108666	FSM	217	B087345
B052705	ENSG00000108666	NIC	313	B052705
B042304	ENSG00000108666	NNC	365	B037114
B052898	ENSG00000119812	FSM	312	B052898
B053451	ENSG00000119812	NIC	310	B063876
B037384	ENSG00000119812	NNC	395	B045169
B089711	ENSG00000197302	FSM	178	B089711
B098267	ENSG00000197302	NIC	150	B108104
B078264	ENSG00000197302	NNC	216	B078264
B009169	ENSG00000143190	FSM	743	B009250
B044137	ENSG00000143190	NIC	355	B044137
B061627	ENSG00000143190	NNC	276	B061627
B051525	ENSG00000247596	FSM	318	B051525
B047001	ENSG00000247596	NIC	340	B047001
B051291	ENSG00000247596	NNC	320	B051291
B074249	ENSG00000127561	FSM	229	B074249
B085429	ENSG00000127561	NIC	192	B091910
B103344	ENSG00000127561	NNC	133	B103344
B063256	ENSG00000197965	FSM	269	B071698
B075832	ENSG00000197965	NIC	224	B075832
B081541	ENSG00000197965	NNC	205	B081541
B052229	ENSG00000143224	FSM	315	B049368
B070339	ENSG00000143224	NIC	243	B070339
B030497	ENSG00000143224	NNC	443	B028845
B051099	ENSG00000166949	FSM	320	B056465
B044282	ENSG00000166949	NIC	354	B039819
B074143	ENSG00000166949	NNC	230	B074143
B017863	ENSG00000092964	FSM	572	B023142
B030882	ENSG00000092964	NIC	440	B030882
B079459	ENSG00000092964	NNC	212	B085910
B074571	ENSG00000101193	FSM	228	B074571
B089753	ENSG00000101193	NIC	178	B089753
B073018	ENSG00000101193	NNC	234	B074571
B043328	ENSG00000099194	FSM	359	B043328
B078211	ENSG00000099194	NIC	216	B078211
B095982	ENSG00000099194	NNC	158	B095982
B061944	ENSG00000176095	FSM	274	B061944
B053454	ENSG00000176095	NIC	310	B053454
B045449	ENSG00000176095	NNC	348	B045449
B008955	ENSG00000101310	FSM	749	B013700
B027543	ENSG00000101310	NIC	467	B026197
B056511	ENSG00000101310	NNC	297	B041619
B051140	ENSG00000283189	FSM	320	B051140
B030034	ENSG00000283189	NIC	446	B025894
B078056	ENSG00000283189	NNC	217	B072916
B062675	ENSG00000187778	FSM	271	B062675
B029391	ENSG00000187778	NIC	451	B029711
B029711	ENSG00000187778	NNC	449	B029711
B038543	ENSG00000179526	FSM	387	B043429
B054541	ENSG00000179526	NIC	305	B054541
B047899	ENSG00000179526	NNC	336	B043429
B099684	ENSG00000291034	FSM	145	B100813
B095885	ENSG00000291034	NIC	158	B095885
B099592	ENSG00000291034	NNC	146	B099592
B079766	ENSG00000134697	FSM	210	B079766
B059058	ENSG00000134697	NIC	286	B059058
B017892	ENSG00000134697	NNC	572	B014012
B057126	ENSG00000044459	FSM	294	B052647
B061814	ENSG00000044459	NIC	275	B063603
B032941	ENSG00000044459	NNC	425	B032941
B061726	ENSG00000066697	FSM	275	B061726
B098912	ENSG00000066697	NIC	148	B092442
B085866	ENSG00000066697	NNC	191	B085866
B076672	ENSG00000113240	FSM	221	B076672
B077028	ENSG00000113240	NIC	220	B089438
B078369	ENSG00000113240	NNC	216	B079009
B076329	ENSG00000197056	FSM	222	B076329
B041386	ENSG00000197056	NIC	370	B041386
B032760	ENSG00000197056	NNC	426	B032760
B067276	ENSG00000137500	FSM	254	B072428
B072428	ENSG00000137500	NIC	236	B072428
B064539	ENSG00000137500	NNC	265	B072428
B095518	ENSG00000163376	FSM	159	B102696
B031740	ENSG00000163376	NIC	433	B022934
B071403	ENSG00000163376	NNC	240	B071403
B074298	ENSG00000150316	FSM	229	B081985
B085185	ENSG00000150316	NIC	193	B081985
B089663	ENSG00000150316	NNC	179	B089663
B058305	ENSG00000025708	FSM	289	B058305
B064096	ENSG00000025708	NIC	266	B064096
B029954	ENSG00000025708	NNC	447	B035175
B004295	ENSG00000089639	FSM	944	B007280
B043578	ENSG00000089639	NIC	358	B043578
B073865	ENSG00000089639	NNC	231	B073865
B071471	ENSG00000185842	FSM	239	B076006
B059633	ENSG00000185842	NIC	284	B071826
B071105	ENSG00000185842	NNC	241	B071105
B057607	ENSG00000107949	FSM	292	B057607
B074683	ENSG00000107949	NIC	228	B074683
B052165	ENSG00000107949	NNC	316	B057607
B081347	ENSG00000135324	FSM	205	B081347
B107178	ENSG00000135324	NIC	119	B107178
B097143	ENSG00000135324	NNC	154	B097143
B055190	ENSG00000116649	FSM	302	B065486
B070383	ENSG00000116649	NIC	243	B076659
B076905	ENSG00000116649	NNC	221	B076905
B019326	ENSG00000196943	FSM	552	B019326
B054076	ENSG00000196943	NIC	307	B054076
B087033	ENSG00000196943	NNC	187	B094023
B087178	ENSG00000100360	FSM	186	B087178
B090040	ENSG00000100360	NIC	177	B090040
B080963	ENSG00000100360	NNC	207	B080963
B061705	ENSG00000186812	FSM	275	B064661
B075215	ENSG00000186812	NIC	226	B087069
B090207	ENSG00000186812	NNC	177	B093322
B007914	ENSG00000115808	FSM	780	B012213
B044134	ENSG00000115808	NIC	355	B044134
B090795	ENSG00000115808	NNC	175	B100068
B046761	ENSG00000163960	FSM	341	B034027
B049723	ENSG00000163960	NIC	327	B049723
B071699	ENSG00000163960	NNC	239	B071699
B041328	ENSG00000241685	FSM	370	B041328
B082031	ENSG00000241685	NIC	203	B082031
B101419	ENSG00000241685	NNC	140	B101419
B050898	ENSG00000171612	FSM	321	B059912
B071506	ENSG00000171612	NIC	239	B071506
B088600	ENSG00000171612	NNC	182	B090358
B045703	ENSG00000163864	FSM	346	B057681
B092244	ENSG00000163864	NIC	170	B092244
B087444	ENSG00000163864	NNC	186	B087444
B088157	ENSG00000074603	FSM	183	B088157
B068370	ENSG00000074603	NIC	250	B082617
B054112	ENSG00000074603	NNC	307	B062090
B088723	ENSG00000228696	FSM	181	B089077
B090406	ENSG00000228696	NIC	176	B096234
B095697	ENSG00000228696	NNC	159	B101032
B047155	ENSG00000204179	FSM	339	B047155
B074680	ENSG00000204179	NIC	228	B074680
B077210	ENSG00000204179	NNC	220	B075167
B059783	ENSG00000003393	FSM	283	B059783
B036260	ENSG00000003393	NIC	402	B033678
B065318	ENSG00000003393	NNC	262	B065318
