unique_id	gene	category	length	cluster	msa_depth	plddt_mean	frac_plddt70	frac_plddt90	ptm	n_res
B033731	ENSG00000143502	NIC	419	B029214	7021	68.33	0.5585	0.3150	0.443	419
B033795	ENSG00000143393	NNC	419	B033795	2580	65.61	0.4845	0.3604	0.572	419
B033804	ENSG00000002016	FSM	418	B046814	3936	65.37	0.5048	0.4067	0.507	418
B033810	ENSG00000173805	FSM	418	B024059	1773	67.58	0.5072	0.3110	0.292	418
B033814	ENSG00000156875	FSM	418	B031789	5410	74.93	0.7536	0.1914	0.729	418
B033829	ENSG00000135338	FSM	418	B038754	1901	68.76	0.5167	0.3971	0.294	418
B033841	ENSG00000133138	FSM	418	B033850	3787	73.86	0.6890	0.2751	0.589	418
B033842	ENSG00000185009	FSM	418	B041016	5487	90.66	0.9306	0.7679	0.732	418
B033846	ENSG00000136044	FSM	418	B033846	1909	72.34	0.6053	0.3493	0.484	418
B033885	ENSG00000240771	NIC	418	B026724	5952	57.43	0.3900	0.0048	0.366	418
B033887	ENSG00000176915	NIC	418	B033887	2333	78.92	0.7392	0.5359	0.68	418
B033954	ENSG00000127863	FSM	417	B043812	5187	57.38	0.3693	0.2398	0.37	417
B033960	ENSG00000072134	FSM	417	B033960	6861	62.56	0.4365	0.2350	0.423	417
B033969	ENSG00000189362	FSM	417	B045370	1689	79.29	0.7890	0.2638	0.586	417
B033974	ENSG00000164038	FSM	417	B026745	3181	71.09	0.6882	0.1823	0.682	417
B033983	ENSG00000174106	FSM	417	B033983	4617	80.77	0.8129	0.3885	0.463	417
B033986	ENSG00000143228	FSM	417	B027832	531	87.17	0.8825	0.6930	0.462	417
B033989	ENSG00000100644	NIC	417	B033989	1056	49.79	0.1679	0.0000	0.2	417
B034036	ENSG00000263001	NIC	417	B022139	1755	70.45	0.5923	0.4173	0.306	417
B034084	ENSG00000130589	NNC	417	B034084	10856	87.79	0.8921	0.6739	0.831	417
B034098	ENSG00000196405	FSM	416	B036168	3618	65.79	0.4471	0.3197	0.373	416
B034140	ENSG00000068137	NIC	416	B034140	1393	73.30	0.6490	0.4014	0.706	416
B034143	ENSG00000101557	NIC	416	B034143	9769	81.88	0.8149	0.4375	0.746	416
B034145	ENSG00000178386	NIC	416	B023086	10294	53.18	0.3702	0.0000	0.301	416
B034148	ENSG00000155744	NIC	416	B027176	1290	52.62	0.2284	0.0817	0.367	416
B034171	ENSG00000154080	NIC	416	B043475	5176	78.90	0.7332	0.6130	0.702	416
B034213	ENSG00000197043	NNC	416	B034213	10469	87.58	0.8726	0.6755	0.774	416
B034223	ENSG00000136826	NNC	416	B032247	14854	46.46	0.0841	0.0553	0.224	416
B034225	ENSG00000159069	NNC	416	B034225	6706	76.54	0.7284	0.4062	0.737	416
B034233	ENSG00000184575	NNC	416	B034233	1945	89.03	0.8846	0.7596	0.86	416
B034247	ENSG00000118705	NNC	416	B034247	1740	86.26	0.8750	0.6322	0.556	416
B034269	ENSG00000110002	FSM	415	B037050	7871	82.19	0.8482	0.3928	0.724	415
B034272	ENSG00000134900	FSM	415	B034272	3620	92.05	0.9639	0.7687	0.876	415
B034274	ENSG00000135720	FSM	415	B025699	2951	56.30	0.3349	0.0000	0.414	415
B034292	ENSG00000148459	FSM	415	B039723	12976	75.76	0.7277	0.5012	0.76	415
B034294	ENSG00000156671	FSM	415	B026285	5953	78.46	0.7687	0.4651	0.624	415
B034295	ENSG00000165660	FSM	415	B035730	1063	68.01	0.5855	0.2867	0.58	415
B034306	ENSG00000213390	FSM	415	B034306	6257	69.30	0.5952	0.3470	0.553	415
B034343	ENSG00000264522	NIC	415	B034343	2875	52.34	0.2024	0.0964	0.246	415
B034348	ENSG00000092820	NIC	415	B034348	4754	75.03	0.6892	0.3711	0.44	415
B034363	ENSG00000125686	NNC	415	B034363	245	44.30	0.0313	0.0000	0.168	415
B034366	ENSG00000104805	NNC	415	B027058	4609	76.62	0.7398	0.4337	0.615	415
B034380	ENSG00000135315	NNC	415	B034380	643	53.99	0.2000	0.0386	0.224	415
B034389	ENSG00000118900	NNC	415	B034389	2313	59.38	0.3084	0.0289	0.237	415
B034395	ENSG00000165115	NNC	415	B034395	1329	74.53	0.6602	0.4289	0.257	415
B034412	ENSG00000138413	FSM	414	B036617	8410	94.90	0.9928	0.9155	0.898	414
B034418	ENSG00000073711	FSM	414	B034418	3857	86.83	0.8454	0.7512	0.853	414
B034434	ENSG00000004478	FSM	414	B034434	25632	91.76	0.9275	0.8575	0.766	414
B034439	ENSG00000134014	FSM	414	B034439	7661	88.52	0.9227	0.6498	0.807	414
B034442	ENSG00000167553	NIC	414	B040669	12311	90.48	0.9420	0.7681	0.876	414
B034457	ENSG00000145819	NIC	414	B034457	1987	80.45	0.7754	0.5628	0.647	414
B034464	ENSG00000172977	NIC	414	B034464	8973	75.67	0.6908	0.5338	0.703	414
B034472	ENSG00000101210	NIC	414	B028057	22486	72.16	0.7198	0.0000	0.652	414
B034476	ENSG00000143801	NIC	414	B029755	3690	68.21	0.6014	0.1932	0.639	414
B034486	ENSG00000135677	NNC	414	B034486	10216	90.61	0.9203	0.8357	0.866	414
B034488	ENSG00000136141	NNC	414	B034488	7254	56.11	0.3116	0.1763	0.333	414
B034524	ENSG00000174197	NNC	414	B034524	451	47.72	0.0024	0.0000	0.153	414
B034547	ENSG00000205250	FSM	413	B044132	6057	61.13	0.4092	0.0920	0.404	413
B034551	ENSG00000119041	FSM	413	B034551	1610	73.95	0.6392	0.4504	0.651	413
B034558	ENSG00000164855	FSM	413	B035428	6576	62.46	0.4092	0.0073	0.607	413
B034559	ENSG00000291080	FSM	413	B034559	1974	41.95	0.0581	0.0000	0.224	413
B034567	ENSG00000100897	FSM	413	B044129	4856	90.96	0.9177	0.8063	0.869	413
B034581	ENSG00000071073	NIC	413	B039191	3364	87.46	0.8935	0.7022	0.622	413
B034595	ENSG00000185803	NIC	413	B043706	2366	76.77	0.7506	0.2397	0.71	413
B034630	ENSG00000181982	NNC	413	B026744	1131	61.47	0.4019	0.2494	0.257	413
B034652	ENSG00000103194	NNC	413	B034652	380	47.35	0.0291	0.0000	0.189	413
B034658	ENSG00000129933	NNC	413	B034658	712	87.06	0.9056	0.5496	0.867	413
B034663	ENSG00000178917	NNC	413	B034608	13244	68.35	0.6683	0.0412	0.423	413
B034667	ENSG00000111897	NNC	413	B032413	5100	74.50	0.6659	0.2954	0.757	413
B034684	ENSG00000141101	FSM	412	B047798	6210	72.29	0.6262	0.2743	0.635	412
B034689	ENSG00000254004	FSM	412	B042310	21816	72.40	0.7112	0.0000	0.375	412
B034704	ENSG00000130707	FSM	412	B037661	19462	94.80	0.9806	0.8956	0.912	412
B034707	ENSG00000107882	FSM	412	B031718	2758	83.23	0.7840	0.6966	0.726	412
B034711	ENSG00000140740	FSM	412	B034711	2757	82.53	0.8325	0.5825	0.789	412
B034741	ENSG00000064270	NIC	412	B034741	20241	84.50	0.9417	0.2573	0.697	412
B034755	ENSG00000007516	NNC	412	B031911	8579	89.85	0.9320	0.7136	0.751	412
B034763	ENSG00000122779	NNC	412	B034763	17566	65.61	0.4393	0.3811	0.556	412
B034805	ENSG00000129534	FSM	411	B034805	4047	52.83	0.2628	0.0584	0.255	411
B034812	ENSG00000243943	FSM	411	B025541	1810	66.14	0.5791	0.0097	0.296	411
B034814	ENSG00000215440	FSM	411	B028210	12083	92.19	0.9343	0.8443	0.913	411
B034815	ENSG00000198951	FSM	411	B043735	14955	93.77	0.9367	0.9197	0.898	411
B034825	ENSG00000152465	FSM	411	B032436	4383	90.42	0.9343	0.7543	0.866	411
B034828	ENSG00000147140	FSM	411	B034828	13404	69.24	0.5572	0.3406	0.426	411
B034858	ENSG00000163521	NIC	411	B042661	8983	88.80	0.8954	0.8345	0.86	411
B034899	ENSG00000183621	NIC	411	B034899	679	51.82	0.1046	0.0316	0.221	411
B034920	ENSG00000083838	NNC	411	B036711	14145	54.31	0.2944	0.1484	0.37	411
B034921	ENSG00000085982	NNC	411	B036238	796	78.82	0.7445	0.4866	0.688	411
B034929	ENSG00000087206	NNC	411	B034929	1133	55.57	0.1922	0.1119	0.23	411
B034948	ENSG00000096384	NNC	411	B031899	21117	72.51	0.6837	0.1192	0.618	411
B034950	ENSG00000170260	NNC	411	B034950	10416	53.92	0.3066	0.1655	0.318	411
B034972	ENSG00000146872	FSM	410	B027652	11402	85.05	0.8561	0.6073	0.802	410
B034976	ENSG00000105568	FSM	410	B040487	4325	95.02	1.0000	0.8829	0.829	410
B034980	ENSG00000197635	FSM	410	B033675	9698	96.20	1.0000	0.9805	0.914	410
B034999	ENSG00000130766	FSM	410	B034999	3344	86.17	0.8415	0.7195	0.867	410
B035003	ENSG00000188283	FSM	410	B033673	11729	66.18	0.6220	0.0000	0.419	410
B035005	ENSG00000065665	FSM	410	B036560	6426	62.56	0.3146	0.0000	0.581	410
B035009	ENSG00000179941	NIC	410	B035009	693	74.89	0.6805	0.3146	0.693	410
B035047	ENSG00000196950	NIC	410	B035047	1718	53.77	0.2439	0.1854	0.405	410
B035071	ENSG00000133250	NNC	410	B038073	1614	53.28	0.2659	0.0366	0.21	410
B035081	ENSG00000109689	NNC	410	B035081	1918	55.02	0.2512	0.1878	0.298	410
B035083	ENSG00000058085	NNC	410	B035083	12811	77.48	0.7390	0.3317	0.355	410
B035123	ENSG00000187607	FSM	409	B027165	13518	65.98	0.6601	0.0000	0.424	409
B035128	ENSG00000263002	FSM	409	B023086	14933	64.75	0.5257	0.0000	0.395	409
B035161	ENSG00000067606	NIC	409	B025929	23440	82.98	0.8264	0.6822	0.811	409
B035173	ENSG00000215305	NIC	409	B026377	2886	89.82	0.9389	0.7971	0.744	409
B035183	ENSG00000004487	NIC	409	B035183	7804	93.12	0.9927	0.7946	0.844	409
B035185	ENSG00000150760	NIC	409	B035185	2686	65.80	0.4108	0.3765	0.469	409
B035193	ENSG00000159593	NIC	409	B029900	3182	93.39	0.9804	0.8900	0.849	409
B035220	ENSG00000105655	NNC	409	B035220	5550	79.57	0.8411	0.3032	0.763	409
B035225	ENSG00000185008	NNC	409	B034178	849	50.60	0.0807	0.0367	0.207	409
B035244	ENSG00000239306	NNC	409	B035244	16375	57.58	0.3423	0.1320	0.353	409
B035262	ENSG00000171316	NNC	409	B025857	347	40.24	0.0000	0.0000	0.13	409
B035286	ENSG00000174738	FSM	408	B035286	15136	55.22	0.2819	0.1961	0.344	408
B035337	ENSG00000167543	NIC	408	B037605	370	54.58	0.2696	0.0490	0.388	408
B035412	ENSG00000008128	FSM	407	B048157	366	56.37	0.2211	0.0762	0.238	407
B035439	ENSG00000187097	FSM	407	B039628	7153	83.58	0.8329	0.6560	0.824	407
B035472	ENSG00000122545	NIC	407	B042009	8562	71.88	0.6486	0.0442	0.576	407
B035478	ENSG00000095139	NIC	407	B035478	3879	75.09	0.6855	0.5037	0.449	407
B035536	ENSG00000105568	NNC	407	B035536	3556	91.15	0.9263	0.7322	0.841	407
B035584	ENSG00000173273	FSM	406	B035584	6022	92.04	0.9089	0.8842	0.846	406
B035591	ENSG00000196233	FSM	406	B035591	3520	52.57	0.1552	0.1158	0.264	406
B035593	ENSG00000168014	FSM	406	B035593	1199	62.06	0.4113	0.3325	0.448	406
B035602	ENSG00000090470	NIC	406	B035602	1068	70.67	0.5148	0.3793	0.399	406
B035606	ENSG00000170836	NIC	406	B035606	4815	54.34	0.3621	0.1872	0.443	406
B035631	ENSG00000108370	NIC	406	B035631	8705	65.38	0.5443	0.3670	0.536	406
B035634	ENSG00000149474	NIC	406	B035634	378	56.67	0.2783	0.0197	0.335	406
B035659	ENSG00000123983	NNC	406	B035659	13044	80.25	0.8374	0.2340	0.478	406
B035667	ENSG00000163689	NNC	406	B035667	833	51.36	0.1429	0.0320	0.218	406
B035675	ENSG00000087116	NNC	406	B035675	12688	67.37	0.5443	0.2882	0.384	406
B035677	ENSG00000111912	NNC	406	B035677	7677	60.02	0.4138	0.2488	0.4	406
B035684	ENSG00000122359	NNC	406	B035345	11693	82.93	0.7709	0.7340	0.771	406
B035749	ENSG00000100983	FSM	405	B035749	4656	94.62	0.9802	0.8864	0.927	405
B035760	ENSG00000117984	FSM	405	B041454	19491	80.93	0.7457	0.5407	0.823	405
B035800	ENSG00000136754	NIC	405	B030335	15547	67.64	0.4988	0.4049	0.343	405
B035811	ENSG00000167962	NIC	405	B035811	473	51.30	0.1210	0.0840	0.286	405
B035813	ENSG00000073969	NIC	405	B035813	13783	85.49	0.8790	0.5136	0.704	405
B035826	ENSG00000137494	NNC	405	B025029	7859	81.17	0.7753	0.5432	0.542	405
B035829	ENSG00000256223	NNC	405	B035829	19713	48.91	0.3160	0.0000	0.348	405
B035841	ENSG00000118160	NNC	405	B035841	9609	72.75	0.6074	0.4272	0.597	405
B035844	ENSG00000115355	NNC	405	B035844	1937	79.27	0.7136	0.5185	0.314	405
B035851	ENSG00000170017	NNC	405	B035851	1772	76.02	0.7136	0.5827	0.656	405
B035867	ENSG00000084070	NNC	405	B036668	15182	59.45	0.3259	0.2469	0.414	405
B035884	ENSG00000147231	NNC	405	B035884	1017	81.23	0.7654	0.4840	0.787	405
B035910	ENSG00000114302	FSM	404	B040970	14096	79.62	0.7574	0.4851	0.562	404
B035919	ENSG00000155629	FSM	404	B044309	1158	58.31	0.2797	0.1386	0.283	404
B035924	ENSG00000121774	FSM	404	B038631	3474	58.76	0.2896	0.1510	0.339	404
B035928	ENSG00000109576	FSM	404	B035928	10466	95.64	0.9975	0.9307	0.921	404
B035938	ENSG00000171574	NIC	404	B040293	20950	59.92	0.5149	0.0000	0.364	404
B035967	ENSG00000136603	NIC	404	B024436	2223	64.79	0.5124	0.3614	0.551	404
B035972	ENSG00000197779	NIC	404	B035972	12132	43.68	0.2723	0.0000	0.325	404
B035976	ENSG00000130695	NIC	404	B035976	1100	81.78	0.7970	0.4851	0.303	404
B035977	ENSG00000176102	NIC	404	B035977	2220	78.48	0.7203	0.4629	0.592	404
B036026	ENSG00000167925	NNC	404	B036026	1423	73.37	0.6856	0.3589	0.732	404
B036029	ENSG00000142657	NNC	404	B036029	18413	95.78	0.9950	0.9381	0.922	404
B036056	ENSG00000087586	FSM	403	B039260	16512	71.85	0.6154	0.5161	0.673	403
B036064	ENSG00000075539	FSM	403	B036064	781	77.61	0.7246	0.3995	0.743	403
B036065	ENSG00000132912	FSM	403	B039490	1334	76.18	0.7047	0.2159	0.434	403
B036071	ENSG00000172748	FSM	403	B027270	14978	68.42	0.6030	0.1886	0.422	403
B036082	ENSG00000162702	FSM	403	B027525	11588	52.39	0.2655	0.0124	0.316	403
B036107	ENSG00000131781	NIC	403	B027196	11038	89.00	0.9057	0.7370	0.834	403
B036114	ENSG00000112365	NIC	403	B028654	18544	61.11	0.4739	0.2457	0.402	403
B036134	ENSG00000056277	NIC	403	B040359	3304	50.37	0.2432	0.0000	0.212	403
B036135	ENSG00000172732	NIC	403	B026489	3313	75.58	0.7047	0.4491	0.605	403
B036148	ENSG00000101400	NNC	403	B036148	10821	75.49	0.7122	0.3648	0.627	403
B036158	ENSG00000171862	NNC	403	B036158	8284	80.94	0.7692	0.6452	0.803	403
B036181	ENSG00000100350	NNC	403	B036181	10631	82.19	0.7742	0.5707	0.797	403
B036190	ENSG00000175305	NNC	403	B034975	8124	76.78	0.6700	0.5360	0.7	403
B036193	ENSG00000020922	NNC	403	B036193	7370	58.01	0.3747	0.1538	0.349	403
B036196	ENSG00000118922	FSM	402	B040978	10824	52.13	0.2114	0.1219	0.298	402
B036205	ENSG00000167785	FSM	402	B048818	19189	71.99	0.6915	0.2015	0.435	402
B036209	ENSG00000205302	FSM	402	B042380	6845	84.83	0.8134	0.6741	0.783	402
B036214	ENSG00000064999	FSM	402	B036214	6901	69.08	0.5647	0.3035	0.445	402
B036216	ENSG00000135597	FSM	402	B039939	1437	53.48	0.1891	0.1095	0.281	402
B036218	ENSG00000054277	FSM	402	B036218	7948	77.27	0.7264	0.5498	0.724	402
B036227	ENSG00000087263	FSM	402	B025292	8211	86.17	0.8483	0.7338	0.811	402
B036260	ENSG00000003393	NIC	402	B033678	2208	81.55	0.8060	0.5124	0.808	402
B036267	ENSG00000177239	NIC	402	B047695	13315	96.32	0.9950	0.9577	0.936	402
B036273	ENSG00000165480	NNC	402	B038366	784	58.65	0.2910	0.2015	0.304	402
B036282	ENSG00000101577	NNC	402	B036282	3296	56.99	0.3433	0.1418	0.332	402
B036366	ENSG00000124786	FSM	401	B042839	3064	73.73	0.7082	0.2095	0.697	401
B036374	ENSG00000122545	FSM	401	B042009	8538	75.77	0.7032	0.1097	0.605	401
B036383	ENSG00000100473	FSM	401	B033930	7417	78.11	0.7681	0.3865	0.628	401
B036419	ENSG00000205531	NIC	401	B040483	7600	75.61	0.6284	0.4663	0.689	401
B036424	ENSG00000100749	NIC	401	B036863	6574	82.01	0.7880	0.7182	0.792	401
B036438	ENSG00000133121	NNC	401	B036438	7511	89.18	0.9077	0.7406	0.847	401
B036443	ENSG00000088035	NNC	401	B030165	5473	82.20	0.8254	0.3666	0.809	401
B036460	ENSG00000168818	NNC	401	B036460	1944	65.46	0.4938	0.0748	0.389	401
B036461	ENSG00000163995	NNC	401	B036461	11921	69.86	0.5935	0.4115	0.361	401
B036465	ENSG00000105339	NNC	401	B036465	780	80.55	0.8080	0.4339	0.769	401
B036470	ENSG00000205531	NNC	401	B040483	6620	74.17	0.6234	0.4214	0.655	401
B036488	ENSG00000125089	NNC	401	B036488	1134	70.51	0.6658	0.5112	0.64	401
B036491	ENSG00000025039	NNC	401	B036491	4287	63.79	0.5287	0.0025	0.592	401
B036515	ENSG00000170876	FSM	400	B048303	3382	88.70	0.8975	0.6950	0.781	400
B036528	ENSG00000166432	FSM	400	B036528	1673	49.35	0.1775	0.0175	0.206	400
B036531	ENSG00000062716	FSM	400	B046987	3455	77.19	0.7150	0.2900	0.719	400
B036537	ENSG00000172888	FSM	400	B030954	14458	56.56	0.4525	0.0000	0.355	400
B036551	ENSG00000160352	NIC	400	B036551	12121	81.11	0.8325	0.4800	0.483	400
B036585	ENSG00000031698	NIC	400	B040221	12641	87.78	0.9225	0.6150	0.812	400
B036594	ENSG00000198945	NIC	400	B036594	6200	69.83	0.5600	0.3425	0.508	400
B036596	ENSG00000127081	NIC	400	B036596	11093	46.35	0.2625	0.0425	0.344	400
B036600	ENSG00000110911	NNC	400	B036600	11880	81.19	0.9275	0.0975	0.79	400
B036603	ENSG00000197102	NNC	400	B036603	3343	83.44	0.8675	0.3600	0.769	400
B036610	ENSG00000141543	NNC	400	B036610	16748	84.40	0.8450	0.5550	0.783	400
B036635	ENSG00000172725	NNC	400	B029065	8228	92.30	0.9375	0.8950	0.896	400
B036636	ENSG00000110274	NNC	400	B036636	773	61.83	0.3375	0.3125	0.381	400
B036642	ENSG00000171759	NNC	400	B036642	15077	83.83	0.8525	0.5550	0.77	400
B036656	ENSG00000274523	NNC	400	B037172	5024	88.91	0.8900	0.8400	0.861	400
B036671	ENSG00000126226	FSM	399	B047168	3198	94.01	0.9900	0.8947	0.877	399
B036683	ENSG00000130175	FSM	399	B036683	5392	81.82	0.7920	0.5965	0.628	399
B036693	ENSG00000138496	FSM	399	B048032	1689	78.39	0.7494	0.5313	0.731	399
B036697	ENSG00000095951	FSM	399	B041656	400	48.59	0.0927	0.0075	0.209	399
B036699	ENSG00000204256	FSM	399	B036699	12324	62.66	0.4085	0.2481	0.281	399
B036713	ENSG00000148399	FSM	399	B036713	3240	79.27	0.7393	0.6241	0.788	399
B036719	ENSG00000156858	NIC	399	B036719	1250	55.26	0.2206	0.0426	0.227	399
B036723	ENSG00000138449	NIC	399	B026196	2473	76.24	0.6917	0.4236	0.705	399
B036731	ENSG00000164252	NIC	399	B036731	20433	66.18	0.5313	0.1504	0.403	399
B036762	ENSG00000141101	NNC	399	B038445	6392	70.29	0.6216	0.2080	0.614	399
B036763	ENSG00000167703	NNC	399	B036763	1629	68.30	0.6241	0.0226	0.635	399
B036766	ENSG00000067596	NNC	399	B036766	17247	64.66	0.4937	0.1805	0.333	399
B036779	ENSG00000172667	NNC	399	B036779	1806	53.33	0.2607	0.0150	0.219	399
B036827	ENSG00000076864	NNC	399	B036827	5084	56.42	0.3659	0.2932	0.445	399
B036835	ENSG00000183018	FSM	398	B036045	6818	88.55	0.9221	0.6482	0.868	398
B036846	ENSG00000149346	FSM	398	B036846	760	51.63	0.2663	0.0377	0.363	398
B036869	ENSG00000243232	FSM	398	B038121	11325	52.59	0.2487	0.1407	0.298	398
B036896	ENSG00000162302	NIC	398	B046681	16151	75.54	0.6834	0.3970	0.74	398
B036898	ENSG00000111581	NIC	398	B036898	1295	88.94	0.9347	0.6457	0.837	398
B036899	ENSG00000174177	NIC	398	B032371	1526	73.52	0.6683	0.3668	0.708	398
B036913	ENSG00000081985	NNC	398	B036913	693	85.45	0.8744	0.5779	0.739	398
B036921	ENSG00000138381	NNC	398	B036921	4930	82.23	0.7739	0.6759	0.807	398
B036928	ENSG00000164506	NNC	398	B036928	2578	75.98	0.6658	0.3920	0.596	398
B036931	ENSG00000130023	NNC	398	B036931	782	85.57	0.8794	0.4874	0.804	398
B036939	ENSG00000152779	NNC	398	B036939	11493	80.72	0.7864	0.5276	0.737	398
B036993	ENSG00000100056	FSM	397	B038652	2324	64.76	0.4232	0.1385	0.353	397
B037003	ENSG00000111206	FSM	397	B037003	630	48.79	0.0151	0.0000	0.155	397
B037004	ENSG00000117394	FSM	397	B029450	11840	88.44	0.9320	0.6952	0.858	397
B037006	ENSG00000129354	FSM	397	B035126	7197	87.36	0.8892	0.6272	0.735	397
B037012	ENSG00000131013	FSM	397	B026190	20929	63.26	0.5113	0.1436	0.367	397
B037041	ENSG00000105767	NIC	397	B037041	6832	82.53	0.7884	0.6524	0.625	397
B037052	ENSG00000129515	NNC	397	B038362	1830	84.75	0.8463	0.6171	0.81	397
B037056	ENSG00000121060	NNC	397	B037056	17854	83.34	0.8186	0.5768	0.493	397
B037060	ENSG00000196757	NNC	397	B042572	20504	76.28	0.8035	0.0428	0.39	397
B037064	ENSG00000197635	NNC	397	B037064	5544	91.24	0.9572	0.7305	0.837	397
B037096	ENSG00000145506	NNC	397	B037096	1069	51.06	0.1486	0.0101	0.221	397
B037104	ENSG00000169826	NNC	397	B037104	911	71.03	0.6247	0.1411	0.555	397
B037113	ENSG00000167840	FSM	396	B039094	17879	63.33	0.5606	0.2323	0.364	396
B037119	ENSG00000183054	FSM	396	B037119	8300	61.53	0.4722	0.2551	0.319	396
B037123	ENSG00000101400	FSM	396	B025132	11109	82.38	0.8207	0.5152	0.676	396
B037125	ENSG00000184402	FSM	396	B029945	2529	47.04	0.1288	0.0657	0.284	396
B037156	ENSG00000140995	NIC	396	B037156	3320	73.36	0.6566	0.4621	0.603	396
B037162	ENSG00000170364	NIC	396	B046271	9882	82.10	0.8131	0.5379	0.605	396
B037170	ENSG00000111877	NIC	396	B037170	139	51.44	0.1439	0.0025	0.196	396
B037203	ENSG00000030582	NNC	396	B031329	4255	77.60	0.8005	0.2298	0.311	396
B037223	ENSG00000242802	NNC	396	B037223	732	82.41	0.8081	0.4747	0.808	396
B037235	ENSG00000179941	NNC	396	B037235	1013	56.70	0.4141	0.1465	0.449	396
B037251	ENSG00000164190	NNC	396	B037251	153	46.73	0.0783	0.0379	0.238	396
B037256	ENSG00000165359	NNC	396	B037256	4956	79.64	0.8005	0.4141	0.803	396
B037272	ENSG00000065268	FSM	395	B037272	4905	81.00	0.7443	0.4000	0.731	395
B037278	ENSG00000135929	FSM	395	B037278	7641	83.46	0.8456	0.7013	0.779	395
B037282	ENSG00000100429	FSM	395	B039236	2656	81.61	0.8304	0.4835	0.815	395
B037288	ENSG00000113580	FSM	395	B028510	309	47.33	0.0734	0.0051	0.197	395
B037290	ENSG00000111859	FSM	395	B037290	1361	65.42	0.4101	0.3392	0.477	395
B037309	ENSG00000110844	NIC	395	B034189	1964	64.03	0.4278	0.3468	0.428	395
B037324	ENSG00000163468	NIC	395	B029051	12301	86.78	0.8987	0.6228	0.757	395
B037329	ENSG00000071539	NIC	395	B037329	3560	83.09	0.8127	0.4152	0.806	395
B037336	ENSG00000123908	NIC	395	B037336	4860	85.99	0.9038	0.5013	0.722	395
B037373	ENSG00000005884	NNC	395	B037373	12954	90.19	0.9291	0.7215	0.855	395
B037384	ENSG00000119812	NNC	395	B045169	2217	58.19	0.4481	0.2354	0.445	395
B037389	ENSG00000144736	NNC	395	B037389	2814	83.57	0.8430	0.5013	0.738	395
B037400	ENSG00000102172	NNC	395	B037400	2281	84.37	0.8481	0.6076	0.815	395
B037406	ENSG00000050405	NNC	395	B037406	11631	53.79	0.2253	0.1089	0.289	395
B037412	ENSG00000104731	NNC	395	B037412	5773	71.06	0.6127	0.4582	0.674	395
B037414	ENSG00000006744	NNC	395	B037414	5199	74.01	0.7013	0.3696	0.72	395
B037416	ENSG00000087191	NNC	395	B041831	28735	81.33	0.8608	0.1899	0.639	395
B037434	ENSG00000160957	NNC	395	B037434	1471	81.83	0.7924	0.5570	0.797	395
B037445	ENSG00000010539	FSM	394	B045846	20062	49.42	0.2995	0.0000	0.293	394
B037450	ENSG00000167315	FSM	394	B046550	22366	96.99	0.9949	0.9848	0.941	394
B037460	ENSG00000164902	FSM	394	B047688	2816	63.28	0.4239	0.1929	0.407	394
B037485	ENSG00000104112	NIC	394	B037485	470	53.27	0.2107	0.0000	0.242	394
B037492	ENSG00000124831	NIC	394	B031686	3038	75.92	0.6904	0.3731	0.307	394
B037515	ENSG00000176444	NIC	394	B043416	14410	70.84	0.6117	0.5609	0.65	394
B037525	ENSG00000196152	NIC	394	B048364	13329	73.42	0.7766	0.0279	0.432	394
B037558	ENSG00000145632	NNC	394	B042624	11896	73.66	0.6599	0.4061	0.626	394
B037564	ENSG00000025796	NNC	394	B031448	3738	72.00	0.5838	0.4467	0.616	394
B037569	ENSG00000176896	NNC	394	B049042	9192	67.41	0.5787	0.2538	0.415	394
B037639	ENSG00000085644	NIC	393	B028418	20133	67.36	0.5776	0.2595	0.368	393
B037660	ENSG00000171097	NIC	393	B033276	14071	93.42	0.9644	0.8499	0.906	393
B037667	ENSG00000083520	NIC	393	B037667	8633	85.85	0.8677	0.6158	0.81	393
B037675	ENSG00000204438	NIC	393	B043879	6400	66.30	0.5394	0.1730	0.344	393
B037684	ENSG00000110076	NIC	393	B037684	2238	69.83	0.5064	0.4504	0.531	393
B037704	ENSG00000072756	NNC	393	B037704	11628	82.23	0.8142	0.5852	0.738	393
B037731	ENSG00000076242	NNC	393	B034304	3380	66.37	0.4987	0.4326	0.581	393
B037739	ENSG00000187391	NNC	393	B037739	13429	63.99	0.4504	0.2875	0.341	393
B037745	ENSG00000149557	FSM	392	B042601	2038	65.77	0.4719	0.1964	0.428	392
B037757	ENSG00000105483	FSM	392	B037757	1190	60.51	0.4515	0.2117	0.608	392
B037770	ENSG00000163608	FSM	392	B036518	690	57.16	0.3673	0.1097	0.34	392
B037779	ENSG00000183621	FSM	392	B037779	10145	56.49	0.3878	0.1709	0.296	392
B037781	ENSG00000158006	FSM	392	B038331	6360	89.25	0.8980	0.7398	0.906	392
B037786	ENSG00000140092	FSM	392	B035483	19057	85.55	0.8673	0.6633	0.586	392
B037797	ENSG00000171365	FSM	392	B041724	9517	80.05	0.7908	0.3138	0.635	392
B037803	ENSG00000166455	NIC	392	B038372	317	43.41	0.0051	0.0000	0.169	392
B037818	ENSG00000106105	NIC	392	B049330	11240	91.98	0.9770	0.7628	0.811	392
B037835	ENSG00000183765	NIC	392	B037835	8090	70.30	0.5867	0.3571	0.588	392
B037836	ENSG00000128242	NIC	392	B038941	4676	89.01	0.8903	0.7857	0.864	392
